City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sørland,67.67,12.69,37.72,76,89,11.9,NO,1603332051
Novo Aripuanã,-5.12,-60.38,72.25,93,100,2.75,BR,1603332051
Saint-Ambroise,48.55,-71.33,39.2,93,90,8.34,CA,1603332052
Hals,57.0,10.31,54.0,97,100,5.01,DK,1603332052
Damaturu,11.75,11.96,79.81,16,0,6.53,NG,1603332052
Saryagash,41.45,69.17,55.4,47,20,6.93,KZ,1603331525
Ternovka,51.68,41.64,36.66,88,100,7.67,RU,1603332074
Gilgit,35.92,74.31,56.86,31,0,4.83,PK,1603332095
Caravelas,-17.71,-39.25,74.43,86,98,4.41,BR,1603332095
Mongua,5.75,-72.8,45.86,96,75,3.49,CO,1603332096
Luanda,-8.84,13.23,77.0,78,75,5.82,AO,1603332096
Bud,39.45,-86.18,57.99,93,75,6.22,US,1603331951
Saint-Augustin,51.23,-58.65,36.88,86,100,10.47,CA,1603332096
Porosozero,62.72,32.73,29.59,97,100,9.04,RU,1603332097
Loralai,30.37,68.6,52.77,31,0,5.08,PK,1603332097
Ivanava,52.15,25.54,47.37,78,100,10.0,BY,1603332097
Bubaque,11.28,-15.83,81.84,83,100,8.9,GW,1603332098
Gobabis,-22.45,18.97,71.02,21,17,18.43,NA,1603332098
Hofn,64.25,-15.21,35.8,82,52,8.68,IS,1603332119
Miraflores,19.22,-98.81,68.0,34,40,13.87,MX,1603332120
Opuwo,-18.06,13.84,55.15,71,0,1.41,NA,1603332120
Najrān,17.49,44.13,62.6,21,100,4.7,SA,1603332120
Harar,9.31,42.13,55.72,40,0,3.13,ET,1603332121
Quatre Cocos,-20.21,57.76,73.4,78,40,10.29,MU,1603332121
Ocala,29.19,-82.14,75.2,94,40,4.7,US,1603331999
Vestmannaeyjar,63.44,-20.27,41.77,89,100,28.03,IS,1603332122
Pisco,-13.7,-76.22,63.0,82,0,17.22,PE,1603332122
Resistencia,-27.46,-58.98,84.2,58,6,10.29,AR,1603332122
Timizart,36.8,4.27,64.4,44,100,9.17,DZ,1603332122
Northallerton,54.34,-1.43,51.8,81,77,12.75,GB,1603332123
Salalah,17.02,54.09,77.0,78,40,3.36,OM,1603332035
Gao,16.64,1.64,86.13,13,0,7.52,ML,1603332108
Yining,29.04,114.56,68.31,55,0,2.62,CN,1603332123
Salihorsk,52.79,27.54,47.43,88,100,8.9,BY,1603332123
Coquimbo,-29.95,-71.34,53.6,87,0,6.93,CL,1603331898
Taltal,-25.4,-70.48,57.33,76,12,4.25,CL,1603332020
Snezhnogorsk,69.19,33.25,15.8,92,90,4.14,RU,1603332145
Saint-Marc,19.11,-72.69,80.24,71,98,2.59,HT,1603332145
Port-Gentil,-0.72,8.78,78.13,86,91,11.34,GA,1603331978
Ikongo,-21.88,47.43,64.94,79,67,1.72,MG,1603332146
Vila Praia de Âncora,41.81,-8.85,55.0,100,75,6.93,PT,1603332146
Kodino,63.72,39.64,24.96,98,29,3.4,RU,1603332147
Kasangulu,-4.59,15.17,70.68,94,100,2.04,CD,1603332147
Altos del Rosario,8.79,-74.17,76.35,97,85,2.15,CO,1603332147
Grand-Santi,4.25,-54.38,73.71,95,98,3.91,GF,1603332147
Pemba,-12.97,40.52,75.18,86,33,8.55,MZ,1603332147
Pointe Michel,15.25,-61.38,81.09,77,46,9.91,DM,1603332148
Cherkasskoye,52.43,47.22,29.26,94,50,4.85,RU,1603332148
Murmashi,68.82,32.81,15.8,92,90,2.64,RU,1603332169
Sidi Ali,36.1,0.42,67.06,71,100,6.17,DZ,1603332169
Agirish,61.92,63.02,26.51,98,100,5.3,RU,1603332191
Ratnagiri,16.98,73.3,78.1,85,0,4.7,IN,1603332191
Hamilton,39.18,-84.53,63.0,93,90,2.89,US,1603332004
Santa Maria,-29.68,-53.81,67.23,79,70,14.72,BR,1603332191
Tazovsky,67.47,78.7,15.04,97,86,11.07,RU,1603332192
Andenes,69.31,16.12,35.6,69,83,13.87,NO,1603332192
Barcelona,41.39,2.16,66.99,88,20,5.82,ES,1603332009
Usinsk,65.99,57.53,19.78,96,2,10.0,RU,1603332213
Aksarka,66.56,67.8,18.05,97,99,13.73,RU,1603332214
Alto Araguaia,-17.31,-53.22,72.93,68,10,3.31,BR,1603332214
Porto-Novo,6.5,2.6,77.45,90,2,3.62,BJ,1603332214
Salinópolis,-0.61,-47.36,80.24,78,67,12.59,BR,1603332214
Jalu,29.03,21.55,61.0,62,0,7.96,LY,1603332215
Havelock,34.88,-76.9,71.01,88,1,4.7,US,1603332215
Okakarara,-20.58,17.43,62.1,37,8,3.87,NA,1603332215
Takoradze,4.88,-1.76,76.66,92,58,7.31,GH,1603332215
Kishtwār,33.32,75.77,51.31,45,0,2.89,IN,1603332215
Albany,42.6,-73.97,66.0,83,100,2.95,US,1603332216
Santa Catalina,9.33,122.86,89.6,59,40,11.41,PH,1603332216
Saint-François,46.42,3.91,63.0,67,95,4.7,FR,1603332216
Pokhara,28.23,83.98,70.09,39,0,2.08,NP,1603332105
Borba,-4.39,-59.59,72.97,97,100,3.89,BR,1603332216
Murgab,37.5,61.97,51.8,57,75,9.17,TM,1603332217
Konëvo,62.12,39.32,31.68,95,100,2.42,RU,1603332217
Vredendal,-31.67,18.5,60.75,33,0,1.97,ZA,1603332217
Sainte-Maxime,43.3,6.63,64.4,77,20,11.41,FR,1603332217
Dabola,10.75,-11.12,71.19,83,98,2.04,GN,1603332218
Itigi,-5.7,34.48,63.41,74,100,6.42,TZ,1603332218
Ondjiva,-17.07,15.73,62.76,40,3,4.23,AO,1603332218
Soyo,-6.13,12.37,77.09,83,100,8.3,AO,1603332218
Iralaya,15.0,-83.23,80.15,85,89,9.24,HN,1603332219
Gacko,43.17,18.54,39.2,93,66,2.24,BA,1603332219
Iqaluit,63.75,-68.51,32.0,93,90,8.05,CA,1603332050
Povenets,62.85,34.83,34.21,88,100,9.17,RU,1603332219
Elliot,-31.33,27.85,54.25,70,0,4.85,ZA,1603332219
Fairhope,30.52,-87.9,77.0,83,1,3.36,US,1603332220
Tsimmerbude,54.67,20.13,51.8,87,60,13.42,RU,1603332220
Waddān,29.16,16.14,60.06,70,0,9.84,LY,1603332220
Corner Brook,48.97,-57.95,50.0,93,90,10.29,CA,1603332220
Mindelo,16.89,-24.98,78.8,78,40,25.28,CV,1603332221
Palma di Montechiaro,37.19,13.77,59.0,84,51,4.29,IT,1603332221
Diré,12.28,-10.97,74.39,67,100,1.77,ML,1603332221
Zhizdra,53.75,34.74,41.7,96,100,3.83,RU,1603332221
İslahiye,37.02,36.63,73.0,54,0,5.82,TR,1603332221
Kachīry,53.07,76.1,40.78,69,100,18.14,KZ,1603332222
Karpathos,35.51,27.21,64.4,82,10,8.05,GR,1603332222
Torit,4.41,32.57,70.65,87,56,2.04,SS,1603332222
Leamington,42.05,-82.61,51.01,87,1,3.36,CA,1603332222
Saint Lawrence,36.06,14.2,63.0,82,59,2.24,MT,1603332223
Bonthe,7.53,-12.51,77.56,86,100,3.44,SL,1603332223
Camocim,-2.9,-40.84,78.24,84,5,11.86,BR,1603332223
Dzaoudzi,-12.79,45.27,78.8,83,75,11.41,YT,1603332244
Hashtrūd,37.48,47.05,45.39,84,3,1.95,IR,1603332244
Novoutkinsk,56.99,59.56,27.54,96,100,10.04,RU,1603332245
Kerugoya,-0.5,37.28,60.62,88,98,0.98,KE,1603332245
Mlimba,-8.8,35.82,73.0,64,100,3.76,TZ,1603332245
Arrondissement de Sens,48.17,3.33,57.0,91,100,1.01,FR,1603332245
Atbasar,51.8,68.33,37.24,77,100,10.54,KZ,1603332246
Lukuledi,-10.57,38.8,70.74,81,60,0.11,TZ,1603332246
Carauari,-4.88,-66.9,75.16,89,16,1.9,BR,1603332267
Nara,34.69,135.8,71.01,64,75,5.82,JP,1603332245
Bezhetsk,57.79,36.7,35.55,95,100,5.39,RU,1603332268
Les Cayes,18.2,-73.75,78.49,81,100,4.12,HT,1603332268
Port Blair,11.67,92.75,82.13,82,84,11.97,IN,1603332268
Bilma,18.69,12.92,79.09,17,10,12.59,NE,1603332268
Castro,-24.79,-50.01,58.5,95,21,8.77,BR,1603332032
Richards Bay,-28.78,32.04,62.62,86,4,5.79,ZA,1603332269
Estreito,-5.78,-43.25,78.48,35,4,2.48,BR,1603332269
Kutum,14.2,24.67,71.69,20,0,11.81,SD,1603332269
Qasigiannguit,68.82,-51.19,28.4,74,92,4.7,GL,1603332269
Muros,42.78,-9.06,55.0,86,19,3.0,ES,1603332269
Pabbi,34.01,71.8,60.8,77,0,2.37,PK,1603332270
San Andrés,12.58,-81.7,80.6,88,40,2.24,CO,1603332270
Lyubech,51.7,30.66,46.92,80,100,5.48,UA,1603332270
Iquique,-20.22,-70.14,64.4,77,90,12.75,CL,1603332270
Uppsala County,60.0,17.75,50.0,100,90,8.05,SE,1603332270
Bārsi,18.23,75.7,77.04,77,16,2.75,IN,1603332270
Abu Samrah,35.3,37.18,62.58,88,0,7.07,SY,1603332271
Saquarema,-22.92,-42.51,73.4,94,40,10.29,BR,1603332160
Stornoway,58.21,-6.39,46.4,87,100,21.92,GB,1603331981
Amapá,1.0,-52.0,77.56,74,12,5.12,BR,1603332271
Omboué,-1.57,9.26,75.97,91,100,6.85,GA,1603332272
Bauchi,10.5,10.0,72.93,37,0,4.16,NG,1603332272
Hauzenberg,48.65,13.63,46.99,94,33,1.45,DE,1603332272
Arlit,18.74,7.39,83.14,14,0,3.47,NE,1603332272
Chicama,-7.84,-79.15,64.58,79,42,6.06,PE,1603332272
El Dorado,38.77,-120.52,71.6,28,1,3.36,US,1603332272
Beyneu,45.32,55.2,42.3,65,100,8.9,KZ,1603332273
São Francisco de Assis,-29.55,-55.13,67.03,79,3,20.42,BR,1603332273
Lodwar,3.12,35.6,84.27,45,2,17.27,KE,1603332273
Liverpool,53.41,-2.98,51.8,76,40,13.87,GB,1603332030
Umm Kaddadah,13.6,26.69,82.06,15,0,16.4,SD,1603332274
Kostanay,53.17,63.58,30.2,92,90,11.18,KZ,1603332274
Praia,14.92,-23.51,80.6,74,20,17.22,CV,1603332274
Sfântu Gheorghe,45.87,25.78,40.78,66,100,0.56,RO,1603332274
Dwārka,22.24,68.97,81.72,60,90,8.1,IN,1603332275
Chapais,49.78,-74.85,32.0,98,90,6.93,CA,1603332275
Province of Mantua,45.17,10.78,50.0,100,52,2.24,IT,1603332237
Macapá,0.04,-51.07,82.4,83,20,8.05,BR,1603332275
Zhezkazgan,47.8,67.71,38.14,67,4,11.99,KZ,1603332275
Aksu,41.12,80.26,48.4,44,0,0.47,CN,1603332276
Pimentel,-6.84,-79.93,62.37,87,1,13.51,PE,1603332276
Nikel,69.41,30.22,21.2,100,90,8.05,RU,1603332276
Northport,33.23,-87.58,77.0,69,1,4.7,US,1603332276
Beloha,-25.17,45.05,67.14,83,0,10.67,MG,1603332276
Caraballeda,10.61,-66.85,78.8,78,75,8.05,VE,1603332277
Husavik,66.04,-17.34,28.4,86,61,2.24,IS,1603332013
Assiut,27.18,31.18,72.46,44,0,5.23,EG,1603332277
Nālūt,30.33,10.85,63.73,44,0,17.56,LY,1603332277
Domoni,-12.26,44.53,78.19,78,39,9.95,KM,1603332277
Caucayá,-0.19,-74.78,72.34,97,100,2.06,CO,1603332248
Kasongo,-4.45,26.67,68.77,99,96,4.83,CD,1603332278
Aswān,24.09,32.91,75.52,25,0,7.78,EG,1603332278
Hwange,-18.37,26.5,75.24,54,0,6.76,ZW,1603332278
Nikaia,37.97,23.65,64.99,59,20,9.17,GR,1603332279
St. George's,12.06,-61.75,84.2,83,20,13.87,GD,1603332279
Lauro Muller,-28.39,-49.4,66.38,90,100,2.15,BR,1603332279
San Luis,-33.3,-66.34,62.89,66,99,8.46,AR,1603332279
Ambilobe,-13.2,49.05,69.87,78,8,3.36,MG,1603332279
Avrillé,47.5,-0.58,55.0,93,0,2.24,FR,1603332280
Tabora,-5.02,32.8,73.4,69,75,5.82,TZ,1603332280
Paris,48.85,2.35,60.01,93,99,6.93,FR,1603331836
Hobyo,5.35,48.53,79.39,84,0,17.6,SO,1603332265
Ilām,26.92,87.92,65.64,58,0,3.6,NP,1603332280
Ginir,7.13,40.7,55.87,81,1,5.01,ET,1603332281
Tres Arroyos,-38.37,-60.28,46.22,63,66,11.25,AR,1603332281
Llanes,43.42,-4.75,64.99,71,11,7.45,ES,1603332281
Bonavista,48.65,-53.11,44.01,87,63,5.01,CA,1603332281
Oyón,-10.67,-76.77,49.91,62,49,5.12,PE,1603332282
Altay,47.87,88.12,44.73,47,0,5.28,CN,1603332282
Kirillov,59.86,38.38,21.2,100,99,3.4,RU,1603332282
Forsytheganj,52.63,29.73,46.15,88,100,6.31,BY,1603332282
Lukovetskiy,64.3,41.92,26.6,92,90,2.64,RU,1603332283
Uruguaiana,-29.75,-57.09,73.4,69,0,17.22,BR,1603332113
Guhāgar,17.48,73.19,77.67,87,0,4.27,IN,1603332283
Pangnirtung,66.15,-65.71,28.4,86,90,5.82,CA,1603332283
Baghmara,23.8,86.21,77.97,68,18,4.5,IN,1603332283
Isla Mujeres,21.23,-86.73,82.4,83,75,5.82,MX,1603332284
Abonnema,4.71,6.79,77.0,94,20,3.94,NG,1603332284
Qaqortoq,60.72,-46.03,30.2,80,68,2.24,GL,1603332284
Hammerfest,70.66,23.68,27.64,94,0,12.46,NO,1603332097
Mezen',65.85,44.24,25.38,97,10,2.13,RU,1603332284
Inhambane,-23.86,35.38,71.17,87,23,8.66,MZ,1603332277
Saurimo,-9.66,20.39,65.21,93,82,0.43,AO,1603332285
Carballo,43.21,-8.69,55.99,87,53,8.05,ES,1603332285
Los Algarrobos,8.5,-82.43,64.99,100,100,2.33,PA,1603332285
Horodyshche,49.28,31.45,49.82,62,100,3.51,UA,1603332286
Venezuela,8.0,-66.0,82.17,71,100,5.91,VE,1603332286
Port Hawkesbury,45.62,-61.35,54.0,100,90,8.05,CA,1603332286
Orbetello,42.44,11.22,57.2,93,75,4.7,IT,1603332286
Blagoyevo,63.37,47.92,23.65,98,69,5.03,RU,1603332286
Serdobsk,52.46,44.22,31.68,99,69,5.95,RU,1603332287
Luba,3.46,8.55,78.71,77,58,2.57,GQ,1603332287
Calvinia,-31.47,19.78,59.18,27,0,8.72,ZA,1603332287
Mogadishu,2.04,45.34,79.65,85,6,12.03,SO,1603332281
Moa,20.66,-74.94,78.91,82,99,9.01,CU,1603332287
Kiryat Gat,31.61,34.76,70.0,77,0,3.36,IL,1603332288
Tessalit,20.2,1.01,80.78,17,0,7.47,ML,1603332288
Bohdan,48.04,24.35,42.91,63,50,1.95,UA,1603332288
Marion,39.77,-86.16,60.8,87,90,6.93,US,1603332124
Alta Floresta,-9.88,-56.09,74.1,83,100,2.71,BR,1603332288
Codroipo,45.96,12.98,54.0,91,44,3.62,IT,1603332289
Paamiut,61.99,-49.67,32.77,85,0,23.49,GL,1603332289
Itarema,-2.92,-39.92,79.77,81,3,15.73,BR,1603332267
Aden,12.78,45.04,85.35,57,24,3.76,YE,1603332112
Taraz,42.9,71.37,46.4,52,100,11.18,KZ,1603332289
Iranshahr,27.2,60.68,52.75,36,0,0.74,IR,1603332290
Alakurtti,66.97,30.35,28.99,89,100,5.99,RU,1603332290
Afuá,-0.16,-50.39,79.0,81,27,7.54,BR,1603332332
Gornopravdinsk,60.05,69.9,30.06,98,98,6.93,RU,1603332332
Vieques,18.43,-65.83,82.4,78,20,4.7,PR,1603332333
Longonjo,-12.91,15.25,61.97,84,82,2.24,AO,1603332333
Tempio Pausania,40.9,9.1,50.0,100,0,3.36,IT,1603332333
Marawi,8.0,124.29,84.99,70,100,3.0,PH,1603332280
Nantucket,41.28,-70.1,62.01,92,1,6.93,US,1603332251
Moose Factory,51.26,-80.61,30.2,92,90,5.82,CA,1603332334
Vágur,61.47,-6.81,43.88,68,28,14.32,FO,1603332238
Gorodovikovsk,46.09,41.93,46.47,55,100,2.42,RU,1603332334
Padang,-0.95,100.35,76.96,79,100,6.53,ID,1603332334
Mugur-Aksy,50.35,90.5,28.51,81,55,7.18,RU,1603332334
Conceição do Coité,-11.56,-39.28,70.34,85,0,11.12,BR,1603332335
Longaví,-35.97,-71.68,51.3,71,0,4.68,CL,1603332335
Bulungu,-4.55,18.6,68.29,97,70,1.5,CD,1603332335
Staraya Mayna,54.6,48.95,35.6,55,75,13.42,RU,1603332335
Vilhena,-12.74,-60.15,73.0,75,27,0.98,BR,1603332335
Makkah al Mukarramah,21.43,39.83,72.28,25,0,1.66,SA,1603332222
Rognan,67.1,15.39,35.6,59,75,18.34,NO,1603332336
Yarmouth,41.71,-70.23,64.99,100,90,6.93,US,1603332336
Bodden Town,19.28,-81.25,82.4,83,40,11.41,KY,1603332188
Arzachena,41.08,9.39,50.0,100,0,3.36,IT,1603332336
Kiruna,67.86,20.23,19.4,100,90,4.7,SE,1603332337
Puerto del Rosario,28.5,-13.86,68.0,94,100,2.24,ES,1603332337
Oranjemund,-28.55,16.43,64.71,49,99,5.93,NA,1603332270
Georgiyevka,43.04,74.71,42.8,56,100,6.71,KZ,1603332337
Malinovoye Ozero,51.68,79.78,50.65,46,100,13.82,RU,1603332337
Djenné,13.91,-4.55,82.56,22,0,4.65,ML,1603332337
Sikonge,-5.63,32.77,73.4,69,75,5.82,TZ,1603332338
Bahía Honda,22.9,-83.16,77.25,83,67,7.02,CU,1603332065
Eilat,29.56,34.95,72.14,58,0,8.39,IL,1603332338
Klaksvík,62.23,-6.59,33.8,86,83,2.24,FO,1603332337
Derzhavīnsk,51.1,66.32,36.99,76,48,13.02,KZ,1603332338
Cap Malheureux,-19.98,57.61,71.01,84,48,3.0,MU,1603332273
Malmyzh,56.52,50.68,31.24,94,96,13.29,RU,1603332339
Humaitá,-7.51,-63.02,75.45,91,100,2.95,BR,1603332339
Tornio,65.85,24.15,30.2,100,90,11.41,FI,1603332339
Nampula,-15.12,39.27,69.8,94,20,8.05,MZ,1603332339
Úvaly,50.07,14.73,48.99,93,9,5.82,CZ,1603332340
Aduturai,11.01,79.48,78.33,83,100,6.98,IN,1603332340
Tegul'det,57.31,88.17,40.86,74,100,9.62,RU,1603332340
Ambalavao,-21.83,46.93,58.32,78,81,6.22,MG,1603332340
Kristinestad,62.27,21.38,47.17,96,100,7.9,FI,1603332340
Mozelos,41.87,-8.4,55.0,100,75,6.93,PT,1603332341
Puerto Maldonado,-12.6,-69.18,76.14,75,72,2.68,PE,1603332341
San Martín,-33.08,-68.47,66.2,59,75,6.93,AR,1603332099
Tandil,-37.32,-59.13,51.01,70,100,1.99,AR,1603332341
Killybegs,54.63,-8.45,48.0,77,97,5.01,IE,1603332342
Belmonte,-15.86,-38.88,77.0,78,75,10.29,BR,1603332363
Lundazi,-12.29,33.18,68.7,50,55,7.87,ZM,1603332363
Muisne,0.6,-80.03,74.68,79,80,6.46,EC,1603332363
Buenos Aires,-34.61,-58.38,60.8,77,90,28.86,AR,1603332362
Conde,-7.26,-34.91,77.0,94,75,5.82,BR,1603332247
Tahoua,14.89,5.27,84.74,14,0,9.69,NE,1603332289
Herat Province,34.5,62.0,53.6,46,0,6.93,AF,1603332364
Düzce,40.84,31.16,60.12,62,0,2.01,TR,1603332364
Bukama,-9.2,25.85,72.84,86,100,0.6,CD,1603332364
Presidencia Roque Sáenz Peña,-26.79,-60.44,78.26,60,15,1.99,AR,1603332365
Fasa,28.94,53.65,46.4,24,0,5.26,IR,1603332365
Luena,-11.78,19.92,63.59,87,60,3.47,AO,1603332365
Chuka,-0.33,37.65,62.28,82,95,4.38,KE,1603332365
Yokadouma,3.52,15.05,67.84,95,100,0.94,CM,1603332365
Khurai,24.04,78.33,74.79,35,0,1.3,IN,1603332305
Mwingi,-0.93,38.06,64.83,80,90,3.76,KE,1603332366
Manjacaze,-24.71,33.88,66.45,96,31,5.1,MZ,1603332366
Ossining,41.16,-73.86,64.99,93,90,4.7,US,1603332366
